birthdate	sex	registration	user_id	race	old_user_id
1965-08-08	F	2020-09-18	782		782
		2021-05-14	2158		2158
		2017-06-23	747		747
2003-02-24	F	2019-05-16	2204		2204
		2019-10-28	720		720
		2018-05-21	2421	unspecified	2421
	M	2019-06-06	1454		1454
	F	2021-02-01	1642		1642
	F	2014-02-05	2161		2161
		2014-07-08	356	black	356
1913-02-23	F	2023-04-27	215		215
1933-05-14		2019-04-05	366		366
2012-08-07		2022-06-11	2166	asian	2166
	F	2016-03-16	1914	unspecified	1914
1955-10-22		2021-01-28	133	white	133
	M	2015-07-14	926		926
1959-12-31		2014-05-18	2536		2536
		2017-07-22	589		589
	F	2014-08-11	1996		1996
1934-04-06	M	2015-04-16	1365		1365
		2018-10-20	1326	unspecified	1326
1936-10-25		2014-03-26	1351		1351
1968-04-22		2016-09-30	362		362
1924-02-14		2021-01-17	1229		1229
	M	2020-11-20	2082		2082
1944-04-16	M	2018-11-08	2383		2383
1978-04-04	F	2017-06-25	1279		1279
2005-04-21	F	2020-08-29	2266	white	2266
		2013-11-15	567	asian	567
1972-04-26	M	2022-07-03	1941		1941
2013-12-16		2020-12-19	282		282
1931-01-13		2015-07-31	1238		1238
1958-05-25		2018-02-25	2026		2026
	M	2019-09-12	804		804
1971-01-06	M	2019-07-11	1075		1075
1943-10-03		2019-08-30	2184	asian	2184
1929-01-29	F	2022-12-19	2379	indian	2379
	M	2022-03-24	2251		2251
1971-06-02		2016-12-04	999		999
1910-12-01		2013-10-16	1394	white	1394
	F	2017-01-13	594		594
1975-01-11	F	2015-02-06	391		391
		2020-12-25	1375		1375
1918-12-15	F	2022-12-18	2457		2457
		2019-03-18	829	white	829
1988-04-08		2014-12-28	58	asian	58
	F	2018-09-07	1332		1332
1920-08-17	M	2020-07-20	1648		1648
1993-08-12	F	2023-06-03	809		809
		2016-12-22	708		708
	M	2015-10-31	2096		2096
	M	2019-01-19	482		482
		2017-12-18	1118	black	1118
		2018-11-13	1819		1819
1942-08-19		2016-09-29	577		577
1985-12-29		2022-08-06	1695		1695
1914-04-22	M	2022-09-16	2050	asian	2050
1920-11-15		2019-09-28	1403	black	1403
1936-02-15	M	2019-03-21	2570	asian	2570
2009-05-28	M	2017-05-21	2246		2246
	M	2015-09-26	1717		1717
1938-01-10	F	2015-02-24	1556		1556
	F	2017-04-17	429		429
	F	2019-11-03	2195	white	2195
1911-07-08		2017-02-09	793		793
1923-08-21	M	2021-05-20	2065		2065
	F	2020-09-05	541		541
2000-04-10		2015-03-03	188	asian	188
1968-12-21		2019-05-20	735		735
1954-04-05	F	2022-11-28	1982	unspecified	1982
		2020-08-24	432		432
1958-08-25		2014-04-21	2232		2232
	M	2022-05-26	265	asian	265
	M	2015-04-02	1367		1367
1921-07-30	M	2017-01-28	140		140
	F	2015-03-26	1779	black	1779
2010-02-02	M	2020-10-09	2306	black	2306
1979-01-28		2016-04-29	2571	unspecified	2050
		2022-06-19	2216	indian	2216
1932-06-15		2020-01-19	417		417
1981-08-06	F	2018-10-06	707		707
1999-08-26		2019-03-14	1185		1185
2019-08-17		2016-08-22	339	white	339
1952-06-26		2014-12-28	2572		1351
1919-07-28		2016-08-08	2023		2023
2014-11-16		2022-06-11	2522		2522
1964-06-30		2022-12-02	1577	asian	1577
	F	2016-02-23	369		369
		2018-08-19	1223		1223
1947-01-10		2015-02-07	873		873
		2017-02-14	2548		2548
1968-10-26		2022-06-04	1877		1877
1972-11-13		2018-12-11	290		290
1920-08-17	F	2017-11-15	1210	asian	1210
		2020-02-02	990		990
		2021-12-11	538		538
1999-02-21		2016-01-22	760		760
2000-06-28		2021-04-26	1863		1863
2004-08-27		2020-04-19	1038		1038
1945-10-31		2015-12-15	2263	white	2263
1944-03-18	F	2022-12-15	1146		1146
2001-08-13		2018-11-23	561		561
		2014-12-20	379		379
		2021-01-24	2005		2005
1952-06-27		2016-07-05	154		154
1914-11-16	M	2016-07-12	1349	asian	1349
1915-10-12	M	2014-05-08	367		367
	M	2020-12-27	2573		1982
1968-02-12	M	2021-11-13	399		399
	M	2015-06-13	1040		1040
	F	2022-05-26	1989		1989
2005-03-16	M	2017-05-24	214		214
1936-02-25	F	2018-04-07	2494		2494
1924-08-11		2018-08-23	1209	white	1209
	F	2015-01-22	1251	white	1251
1920-11-30		2023-09-04	2269		2269
1929-05-18	F	2019-12-11	153	black	153
		2015-08-25	1012	black	1012
1935-03-08		2015-02-13	1061		1061
1914-12-30		2022-08-11	3		3
	F	2017-05-09	489		489
		2018-03-03	2233		2233
2009-09-06	F	2015-02-15	1240		1240
		2015-02-26	526		526
1963-10-23	F	2017-04-07	2568		2568
	F	2023-06-29	915	white	915
1921-06-01	F	2020-10-27	1563		1563
1972-02-08		2016-05-04	845	white	845
		2015-11-17	1679		1679
2005-07-29		2021-04-19	2054		2054
2019-04-23		2021-04-08	1110	black	1110
2012-02-04	M	2017-04-11	1162		1162
		2015-11-09	2427	asian	2427
1925-07-15		2014-12-17	2532		2532
	F	2021-04-11	406		406
1917-02-23		2021-06-24	1434		1434
		2015-08-07	42		42
1916-12-16	M	2017-05-30	1295		1295
		2023-01-24	685		685
1956-10-16		2019-04-12	494		494
	F	2016-08-06	870	unspecified	870
		2018-09-22	1046		1046
		2017-06-17	2390		2390
2009-05-30	F	2021-12-21	1334		1334
	F	2014-05-25	1573		1573
		2022-07-16	1269	black	1269
		2023-05-30	1249		1249
1953-08-07		2013-11-19	2381		2381
1975-09-30		2018-12-05	1817		1817
1934-09-04	F	2015-03-16	2524		2524
1946-06-26	F	2020-02-11	898		898
1935-10-14	M	2016-03-06	1575		1575
	M	2020-02-09	587		587
1913-01-16	F	2023-01-13	1021	asian	1021
1909-07-07	F	2020-08-17	757		757
1909-08-06	F	2020-01-22	2220		2220
1996-10-08	F	2020-11-01	2031		2031
1995-07-09	F	2021-04-14	2102	black	2102
1920-06-12	F	2017-07-23	1502		1502
1993-10-16	M	2017-11-10	1701	indian	1701
2014-12-12	F	2019-03-31	1261		1261
1925-10-13		2016-10-20	1109	asian	1109
1929-08-23	F	2017-10-06	1144		1144
	M	2014-07-25	1963	white	1963
		2014-02-11	2318		2318
1966-01-22	F	2015-06-28	1625		1625
1920-12-05	F	2023-01-10	1632		1632
		2021-10-21	207	unspecified	207
1978-02-13		2021-06-29	2528		2528
1935-07-19		2018-10-01	1418		1418
	F	2016-05-09	974		974
1924-09-19	F	2022-08-19	1867	white	1867
	F	2022-12-26	1593	unspecified	1593
		2018-05-04	1801	black	1801
	M	2019-07-29	1886		1886
		2015-09-07	1189		1189
1975-12-29	M	2017-01-22	1356		1356
1930-07-01		2017-09-22	2478		2478
1993-12-27		2018-06-25	1521	white	1521
	F	2020-08-30	521		521
	M	2013-10-21	112	unspecified	112
		2023-04-24	810		810
1956-04-23	M	2017-12-14	1826	black	1826
1942-07-27		2017-10-09	599		599
		2022-01-15	1461		1461
1932-07-19		2021-09-03	2384		2384
		2022-11-06	1468		1468
2007-10-23	M	2022-01-28	1412		1412
	F	2021-10-09	677		677
	M	2017-11-22	1471		1471
	F	2016-11-13	1337	unspecified	1337
1963-02-28		2016-08-28	1161		1161
		2013-10-10	73		73
		2014-10-07	119		119
		2014-07-24	888	black	888
1948-10-05		2018-03-09	2517		2517
		2021-09-05	1987		1987
1947-09-02		2022-05-13	71	black	71
2012-01-22	M	2021-02-18	2207		2207
1954-01-28		2016-04-22	1019		1019
1910-09-10		2016-12-12	1431		1431
	M	2013-11-06	824		824
	M	2017-04-28	2574		1075
	M	2023-05-29	2324		2324
	F	2015-05-24	1945		1945
2017-06-29	F	2015-01-28	863	indian	863
	F	2020-05-23	1622		1622
	F	2019-05-31	2575		1471
		2022-08-16	179	white	179
1930-06-05		2018-09-15	377		377
	F	2022-06-06	1423	white	1423
1939-10-12	M	2015-06-23	711		711
1974-12-08	F	2016-05-21	1678		1678
1962-11-12	M	2017-10-10	1922		1922
1945-11-24		2017-12-02	370	white	370
	M	2016-08-15	1380	black	1380
	M	2015-08-12	1199	unspecified	1199
	M	2016-10-23	1062		1062
1999-03-13	F	2014-03-24	1		1
		2020-10-02	1371		1371
		2023-01-20	1723	black	1723
1908-10-05		2023-01-09	1233		1233
2011-12-05	F	2016-09-15	2395		2395
1996-05-31		2020-05-31	2272		2272
1974-05-30		2016-10-23	1084		1084
	M	2018-09-14	1296		1296
1947-12-21		2022-05-12	2237		2237
		2014-04-10	1613		1613
1938-01-19	M	2014-08-02	1190		1190
1957-09-10	F	2016-03-27	2258		2258
	F	2018-01-17	436		436
	M	2021-08-17	1854		1854
	F	2023-04-02	2477		2477
	F	2017-01-23	2576	unspecified	2517
	M	2016-05-11	2016		2016
1986-09-26	F	2018-02-14	2577		1240
1963-12-21		2020-06-22	2378		2378
	M	2023-09-13	1890		1890
1948-04-24		2023-02-15	2274		2274
1974-02-12	M	2017-06-18	900		900
1935-12-20		2020-11-11	890		890
		2021-01-13	1206		1206
		2022-07-15	1637		1637
2015-12-03	F	2019-01-25	275	unspecified	275
		2016-02-05	528		528
	F	2014-02-19	1705		1705
		2017-03-02	2213		2213
		2013-10-31	795	white	795
2015-07-04		2017-07-22	2578		1334
		2017-10-08	1558		1558
1957-09-02	M	2021-05-01	434		434
1937-06-15	F	2014-06-04	296	asian	296
		2015-12-03	1968		1968
	M	2016-08-19	1465	unspecified	1465
	F	2020-10-28	1735		1735
1948-10-28		2018-10-30	2302		2302
2019-07-12		2022-06-28	579	black	579
2016-10-20		2017-07-15	2243		2243
	M	2016-11-08	2055		2055
	F	2017-05-10	1480		1480
	M	2023-02-01	981	asian	981
1996-10-14	M	2013-10-03	1006	asian	1006
1989-12-05		2019-07-21	2410	asian	2410
1990-03-11	M	2020-07-02	61	white	61
		2016-08-09	1127		1127
1937-12-06		2022-01-02	354		354
		2023-09-07	2297	white	2297
2017-03-15		2019-12-24	1101		1101
		2018-04-17	1116		1116
		2023-04-13	122		122
		2023-07-21	1874		1874
		2017-02-14	1361	white	1361
2010-07-13	M	2015-03-31	1659	white	1659
		2014-02-25	963	unspecified	963
	M	2019-06-24	1997		1997
	F	2017-07-09	2249		2249
	F	2020-06-20	762	asian	762
1926-10-01	M	2014-08-27	2198		2198
1908-08-19	M	2018-08-26	1264		1264
	M	2014-05-10	397	unspecified	397
	M	2022-02-13	1913	black	1913
1918-10-26	M	2020-04-20	1192		1192
		2022-05-25	894		894
	F	2017-04-19	1523		1523
	F	2015-06-25	1439		1439
2003-11-11		2019-06-10	1142		1142
	F	2016-01-29	910		910
	F	2020-08-10	2025		2025
2015-01-29	M	2016-06-14	1399	white	1399
1945-03-03	M	2015-07-21	2561		2561
1963-11-18		2016-07-24	2299		2299
1970-06-11		2019-05-09	817		817
		2020-05-29	1828		1828
1977-02-22		2023-01-23	1164	unspecified	1164
2015-08-06	F	2022-03-12	1406		1406
	M	2020-01-21	2579		981
1980-10-01		2022-11-05	1076		1076
1962-04-11		2021-02-01	2271		2271
		2018-08-20	415		415
1997-06-14	F	2016-06-30	1780		1780
		2020-03-23	1289	asian	1289
1984-02-09		2022-06-10	1543		1543
1925-12-26	F	2023-02-18	162	asian	162
	M	2022-04-17	204	indian	204
2004-01-11		2014-07-29	2519		2519
	F	2014-05-21	2091		2091
1918-02-16	M	2018-04-22	246		246
1915-11-15	F	2023-03-17	108		108
2021-06-30		2020-09-19	1983		1983
2020-05-15		2018-12-23	2445	white	2445
	F	2019-05-06	389		389
1922-08-14	M	2013-12-05	80	black	80
	M	2014-10-22	2544		2544
	F	2014-09-07	41	indian	41
		2018-07-30	790	white	790
	F	2014-12-28	198	indian	198
2010-08-19		2016-03-11	411	white	411
1948-07-06		2019-12-01	2580	unspecified	2195
	F	2016-01-30	2165		2165
1985-09-13		2014-01-19	238		238
		2017-10-04	1878		1878
		2015-10-24	2581		2216
	M	2018-09-05	2440	asian	2440
	M	2014-09-29	2119	black	2119
	M	2015-04-23	2079		2079
1938-09-28	F	2022-11-12	2582		1987
		2022-10-05	1385		1385
1919-04-02	F	2019-03-23	457		457
		2016-09-17	260		260
2018-04-22		2019-04-21	2358		2358
1916-12-07	M	2020-05-16	1288		1288
1966-02-05	F	2023-01-15	2067		2067
1909-09-09		2016-10-21	816	white	816
1940-09-29		2017-01-11	2583		2266
	F	2018-09-13	2242		2242
		2020-10-01	713		713
	F	2018-09-15	2584		1326
1920-05-07	M	2019-02-12	515		515
	F	2016-09-13	76	white	76
	F	2021-11-30	1196		1196
1923-05-01	M	2018-01-04	1177		1177
1970-07-08		2013-11-27	2015		2015
	F	2013-12-22	1833		1833
1991-03-09	F	2021-12-22	2585	white	119
	M	2015-08-24	676	unspecified	676
1992-09-19		2017-02-03	944		944
		2020-05-23	2319		2319
2021-11-18		2017-10-11	1544		1544
		2021-07-03	48		48
1945-04-17		2019-08-18	416		416
1985-06-07		2015-09-21	139	white	139
1995-05-26		2022-08-23	2586		2358
2002-04-21	F	2020-07-26	2190		2190
		2018-12-10	1023		1023
2015-04-01	M	2020-11-30	2300		2300
1912-08-06	F	2018-11-19	2090		2090
1980-10-26	M	2017-09-08	1929	unspecified	1929
		2022-12-14	2485	unspecified	2485
2014-01-05	M	2022-05-20	2587		1996
1926-03-31	M	2021-04-24	1325		1325
1940-06-13	M	2016-01-17	266		266
1927-12-25		2023-08-24	1011		1011
1980-07-10	F	2019-10-04	1617		1617
1913-06-09		2020-06-12	109		109
1948-08-29		2017-06-20	2043		2043
2015-06-09	M	2014-12-26	2280		2280
2011-12-13	M	2018-03-07	1753		1753
1966-05-11	M	2014-12-03	408		408
		2014-08-14	1752		1752
		2015-04-24	2400		2400
1979-01-17		2020-09-03	940		940
1909-05-03	F	2020-06-11	2588		265
2010-03-27	M	2022-03-03	2453	unspecified	2453
		2017-04-22	2589		153
		2016-10-25	464		464
1978-02-25	M	2015-04-29	2590	black	366
	F	2020-11-19	686	unspecified	686
	F	2016-12-23	2128		2128
1997-05-28	F	2014-09-25	941	unspecified	941
1975-07-04		2019-01-13	2591	black	1735
1997-03-07	M	2023-03-10	1305		1305
2000-01-19	M	2014-07-20	1853		1853
1989-09-22		2016-11-28	1157	unspecified	1157
		2016-07-20	463	black	463
		2022-01-21	1804		1804
1975-09-05		2023-09-10	2187	asian	2187
	F	2022-10-14	2110	black	2110
2009-01-11		2014-12-20	420	unspecified	420
	F	2022-01-23	1058		1058
1983-07-08		2018-04-20	2569		2569
1985-07-11		2017-06-24	1633	unspecified	1633
		2015-10-14	1770		1770
1999-05-19	M	2016-07-23	998		998
		2020-07-01	2554	unspecified	2554
2004-05-09	M	2023-08-21	1419		1419
	M	2021-08-25	1704	white	1704
1913-10-24	F	2015-11-19	1656		1656
	M	2014-11-05	289	white	289
1975-07-12	F	2018-12-19	934	unspecified	934
1960-01-25		2017-05-03	2170		2170
2017-10-25		2015-04-17	469		469
1972-04-02	M	2017-12-15	1664	black	1664
1956-12-07	F	2015-08-07	629		629
2019-05-10		2020-12-25	208		208
1935-12-05	M	2013-10-13	1294		1294
2011-07-27	M	2022-02-28	1324		1324
2009-11-21		2022-11-14	2592	unspecified	515
	M	2018-12-29	2593	unspecified	1779
1938-04-28	F	2019-05-23	1193	asian	1193
1996-11-03	F	2020-12-15	754		754
		2020-03-18	2531	black	2531
2007-01-11		2017-05-22	2171		2171
	M	2015-10-10	985	unspecified	985
1940-08-01	M	2019-11-18	1790	white	1790
	F	2017-08-22	1055	white	1055
1928-06-04	F	2015-07-24	662	asian	662
2016-04-18		2013-12-09	742	black	742
2017-06-06	F	2015-02-27	977		977
2018-09-08	M	2016-12-28	2454	unspecified	2454
1914-01-23		2017-01-30	1912		1912
	F	2015-11-10	2305		2305
		2023-05-23	1263		1263
1955-08-06		2014-05-28	2448	black	2448
		2014-06-22	1308	white	1308
	F	2021-07-07	1298	black	1298
1980-04-23	F	2016-06-09	343		343
	F	2019-09-14	632	black	632
2006-04-14		2019-06-29	895		895
		2019-07-12	1225		1225
1912-01-07	M	2018-04-23	2033		2033
1973-06-27		2017-12-08	2594		1983
		2015-12-23	306		306
1959-08-06		2018-10-19	787		787
1953-08-27		2018-03-17	2414		2414
	F	2015-08-30	1571	unspecified	1571
1930-07-28	F	2020-04-13	2362		2362
1981-07-08		2015-04-10	748		748
	M	2017-07-13	710		710
1935-11-14		2020-01-20	2092		2092
		2022-02-03	2071		2071
		2022-05-27	1342		1342
	F	2014-04-27	2595	unspecified	2031
		2018-12-16	1738	white	1738
1917-07-28		2020-08-30	1113	indian	1113
		2018-05-05	657	asian	657
1967-11-20		2018-06-19	2596	black	2400
2011-12-19	M	2015-01-08	419		419
	M	2019-05-13	1975	unspecified	1975
		2014-04-10	1479		1479
		2016-01-28	1359		1359
1924-03-11		2019-12-21	2597		1738
1962-07-05		2023-02-20	775		775
1984-06-03		2015-02-28	1568		1568
2018-03-24	M	2021-09-05	2598		463
	F	2022-02-09	2467	black	2467
		2015-03-14	611	unspecified	611
	M	2014-08-19	1328		1328
	M	2018-12-11	1139		1139
		2021-10-01	1647		1647
1992-04-03		2016-03-18	1569	black	1569
2002-06-16		2020-09-27	1383	white	1383
2006-04-22		2022-12-15	2511	unspecified	2511
1947-03-31	F	2014-03-08	969		969
1950-10-30		2023-06-08	1114	white	1114
1966-04-27	F	2019-10-26	2178		2178
	F	2019-12-15	2599	unspecified	1279
1910-04-15	F	2013-11-15	1731		1731
		2020-03-11	2392	black	2392
	M	2021-09-25	758		758
1908-07-14	M	2016-09-20	1507		1507
1927-12-30	M	2016-07-07	2098		2098
	F	2023-03-03	2600		207
1969-09-17	M	2020-11-01	2601		981
	F	2015-08-26	1482		1482
1943-02-23		2018-04-01	781	white	781
1969-01-31	F	2019-12-16	1724		1724
1909-12-08	F	2016-03-23	43		43
	M	2014-12-12	1785	white	1785
2006-11-24		2015-04-05	1856		1856
1950-03-06		2018-06-22	2602		1269
1922-05-31	F	2017-07-14	174		174
		2014-05-10	1408	unspecified	1408
1980-07-19		2017-06-14	712		712
	M	2013-12-24	1915		1915
	F	2019-11-21	746		746
1971-12-13	F	2015-04-25	2321		2321
		2014-08-30	2603		469
1975-09-10		2014-05-13	1493		1493
1949-01-21	F	2022-05-29	1947	unspecified	1947
1925-07-29	M	2016-11-24	766	asian	766
1916-11-23		2020-04-16	2003		2003
	M	2018-12-21	2157	asian	2157
1918-03-07		2018-09-15	388		388
1995-09-17	M	2016-04-17	1321		1321
1987-01-18		2022-05-13	960	white	960
	F	2022-08-17	920		920
1984-05-12	M	2022-01-03	27	unspecified	27
2007-04-17	F	2015-05-20	1711		1711
	F	2022-01-10	774	asian	774
1933-08-29	M	2021-01-24	2604		1196
	F	2022-04-09	968		968
1926-05-24	M	2017-08-03	259		259
2005-04-01		2022-11-12	1414	asian	1414
1933-09-28		2016-05-06	997		997
2019-11-27		2017-05-07	1467		1467
1914-08-28		2022-03-08	21	unspecified	21
2018-07-24		2014-12-31	374		374
1936-04-20	M	2022-06-10	320	white	320
	M	2019-08-24	728		728
	M	2015-12-14	752		752
		2022-07-28	98		98
1919-11-01	F	2022-05-08	1509		1509
	F	2023-08-30	592		592
		2016-03-09	1680		1680
2014-02-28	M	2019-01-04	889	asian	889
2021-08-08	F	2014-01-21	1708		1708
		2015-11-11	1687		1687
1939-01-23	F	2019-06-05	2605		2158
1948-07-29	F	2019-02-27	1503		1503
1966-05-09	M	2019-04-22	69	black	69
	F	2014-09-08	1172		1172
		2016-09-06	2606		2421
1945-04-04		2015-09-08	2212	white	2212
	F	2014-09-18	2607		1945
	M	2013-10-22	1230		1230
1912-04-20	F	2015-04-04	2608		411
		2016-12-21	1400	unspecified	1400
		2015-04-15	1022		1022
	F	2017-11-25	778		778
2020-08-13	F	2021-09-17	2609		1394
		2018-09-30	1618		1618
		2018-10-21	418	unspecified	418
1958-01-29	M	2014-03-07	2084		2084
	M	2014-10-14	2610	white	1947
	M	2021-09-16	2298		2298
	M	2016-04-08	2611		1695
		2018-03-23	2612		469
	M	2020-11-28	1574		1574
	F	2015-06-23	2613		1190
1972-12-09	F	2016-08-29	2063		2063
		2015-07-18	2556	unspecified	2556
1937-12-21	M	2020-03-30	1441		1441
		2019-06-05	1940		1940
1999-05-03	F	2020-03-24	220		220
	M	2023-01-08	1744		1744
1909-05-09		2020-04-17	1652	unspecified	1652
	F	2017-06-20	1962		1962
		2018-11-11	2614		676
2006-10-27		2017-08-06	732		732
1951-10-26		2022-11-20	2615		997
	F	2020-11-16	551		551
1999-04-15		2021-11-18	2044		2044
		2017-06-21	1003	white	1003
1967-09-06		2022-04-30	2616		1780
	F	2014-11-28	687		687
2001-06-27		2022-12-06	477		477
	F	2020-04-23	2113		2113
2006-08-27	F	2021-06-20	1531		1531
	F	2021-08-01	1893	white	1893
1969-07-14	M	2022-02-12	2617	black	829
1974-10-29		2023-05-29	1729		1729
1987-07-18	F	2014-07-26	2037	unspecified	2037
	F	2016-11-20	276		276
	F	2022-03-16	1293		1293
1921-06-28		2015-01-08	1274		1274
	F	2021-09-20	1396		1396
		2019-03-06	1397	black	1397
		2021-07-17	1256		1256
1910-11-04	F	2017-12-31	2618		2302
1993-04-27		2015-08-26	767		767
		2022-05-02	413		413
		2017-04-30	1086		1086
1999-06-06		2018-11-04	2229		2229
		2015-08-31	1993		1993
2019-09-24	M	2021-07-03	473	indian	473
		2018-09-25	2060	black	2060
	F	2017-04-19	557		557
	M	2017-04-12	1631		1631
	M	2019-09-30	1213		1213
1964-08-08	F	2019-01-16	2103	white	2103
1927-08-26	F	2016-05-05	1492	black	1492
1969-05-02		2018-07-06	1901	white	1901
	F	2019-03-26	2619		804
	M	2020-02-04	2068		2068
		2021-01-13	1262		1262
	M	2018-10-13	734		734
		2021-08-09	2620		944
1947-12-26		2020-06-02	2621		1274
	M	2018-11-10	1685		1685
	M	2018-08-15	1455	white	1455
	M	2019-08-22	2203	white	2203
2018-01-16		2022-01-06	2206		2206
	F	2015-05-21	549		549
	M	2020-02-14	1700		1700
1965-08-03		2019-04-08	1850		1850
		2021-10-15	1422		1422
		2016-12-27	1216		1216
1939-05-26		2015-07-18	948		948
	M	2019-02-28	2530		2530
1907-12-24		2015-09-23	2330		2330
2000-07-27	F	2021-07-04	382		382
		2018-04-13	1669		1669
		2018-11-06	1425		1425
2013-08-01	F	2014-10-24	387		387
		2023-03-22	844		844
2023-04-13		2023-04-03	1517		1517
1965-07-25		2022-11-07	39		39
1921-02-22		2023-09-10	202		202
1974-12-21	F	2014-05-21	1239		1239
1960-08-25		2020-10-08	425		425
	M	2021-12-20	20		20
	M	2019-11-20	516		516
2015-01-11		2017-03-28	1565		1565
1935-06-19		2017-08-19	745		745
1962-02-12		2013-12-20	952	black	952
1954-03-03	M	2020-09-12	743		743
1977-10-27		2016-06-23	1122		1122
	M	2015-12-13	506	unspecified	506
2010-06-11		2019-04-03	1029		1029
1997-05-24		2014-01-14	338		338
		2023-05-06	2622		1544
1946-03-18		2013-10-16	2623		948
		2018-03-20	2624		1367
1962-01-11	F	2017-08-15	1621		1621
1930-10-17		2022-01-24	1984		1984
1953-01-28		2015-01-04	904	unspecified	904
	M	2021-06-01	2500	unspecified	2500
		2019-03-12	2625		2166
	M	2017-04-25	523		523
1988-02-21		2022-06-11	2252		2252
	M	2021-01-30	2094		2094
		2015-09-07	1570	unspecified	1570
1919-01-18	M	2017-03-01	2626		1544
		2016-08-29	2481		2481
	F	2017-06-02	480	asian	480
1966-11-24	F	2022-12-23	34		34
1969-01-16	F	2023-04-22	2543	asian	2543
1919-02-12	M	2020-04-26	976	black	976
	F	2022-01-26	1532		1532
		2022-04-18	2205		2205
		2019-02-10	884		884
		2014-05-10	1255		1255
1969-03-10	M	2017-04-17	753	white	753
1936-03-23		2014-05-22	1858	unspecified	1858
